Unnamed: 0,subj1,subj2,expected-consistency,observed-consistency,cohens-kappa,condition
104,age1-,age2-,0.7012244897959184,0.7142857142857143,0.04371584699453531,4-6 vs. 7-9
105,age1-,age5-,0.727603305785124,0.7090909090909091,-0.06796116504854377,4-6 vs. Adults
106,age1-,age5-,0.727603305785124,0.7818181818181819,0.19902912621359228,4-6 vs. Adults
107,age1-,age5-,0.691900826446281,0.7454545454545455,0.17381974248927035,4-6 vs. Adults
140,age1-,vgg19-,0.7365289256198346,0.7636363636363637,0.10288582183186992,4-6 vs. DNNs
141,age1-,BiTM_resnetv2_152x2-,0.7365289256198346,0.7636363636363637,0.10288582183186992,4-6 vs. DNNs
148,age1-,ResNeXt101_32x16d_swsl-,0.7454545454545455,0.7454545454545455,0.0,4-6 vs. DNNs
153,age1-,resnext101_32x8d-,0.7365289256198346,0.7272727272727273,-0.03513174404015017,4-6 vs. DNNs
157,age1-,swag_regnety_128gf_in1k-,0.7454545454545455,0.7454545454545455,0.0,4-6 vs. DNNs
162,age1-,age4-,0.6200000000000001,0.75,0.3421052631578946,4-6 vs. 13-15
163,age1-,age4-,0.65,0.65,0.0,4-6 vs. 13-15
164,age1-,age4-,0.65,0.65,0.0,4-6 vs. 13-15
165,age1-,age2-,0.6200000000000001,0.65,0.07894736842105242,4-6 vs. 7-9
166,age1-,age2-,0.5750000000000001,0.8,0.5294117647058824,4-6 vs. 7-9
167,age1-,age1-,0.605,0.8,0.4936708860759495,4-6 vs. 4-6
168,age1-,age2-,0.59,0.65,0.14634146341463428,4-6 vs. 7-9
169,age1-,age2-,0.6200000000000001,0.75,0.3421052631578946,4-6 vs. 7-9
170,age1-,age3-,0.65,0.65,0.0,4-6 vs. 10-12
171,age1-,age3-,0.6200000000000001,0.75,0.3421052631578946,4-6 vs. 10-12
172,age1-,age1-,0.455,0.6,0.26605504587155965,4-6 vs. 4-6
173,age1-,age4-,0.6200000000000001,0.75,0.3421052631578946,4-6 vs. 13-15
174,age1-,age4-,0.65,0.65,0.0,4-6 vs. 13-15
175,age1-,age4-,0.65,0.65,0.0,4-6 vs. 13-15
176,age1-,age3-,0.635,0.7,0.17808219178082174,4-6 vs. 10-12
177,age1-,age3-,0.65,0.65,0.0,4-6 vs. 10-12
178,age1-,age3-,0.635,0.7,0.17808219178082174,4-6 vs. 10-12
179,age1-,age3-,0.6200000000000001,0.65,0.07894736842105242,4-6 vs. 10-12
180,age1-,age3-,0.605,0.7,0.240506329113924,4-6 vs. 10-12
181,age1-,age2-,0.635,0.7,0.17808219178082174,4-6 vs. 7-9
182,age1-,age5-,0.65,0.65,0.0,4-6 vs. Adults
183,age1-,age5-,0.65,0.65,0.0,4-6 vs. Adults
184,age1-,age5-,0.635,0.7,0.17808219178082174,4-6 vs. Adults
217,age1-,vgg19-,0.65,0.65,0.0,4-6 vs. DNNs
218,age1-,BiTM_resnetv2_152x2-,0.65,0.65,0.0,4-6 vs. DNNs
225,age1-,ResNeXt101_32x16d_swsl-,0.65,0.65,0.0,4-6 vs. DNNs
230,age1-,resnext101_32x8d-,0.65,0.65,0.0,4-6 vs. DNNs
233,age1-,swag_regnety_128gf_in1k-,0.65,0.65,0.0,4-6 vs. DNNs
238,age4-,age4-,0.8528,0.84,-0.08695652173913067,13-15 vs. 13-15
239,age4-,age4-,0.9142857142857144,0.9142857142857144,0.0,13-15 vs. 13-15
240,age4-,age2-,0.7722448979591836,0.8,0.12186379928315458,7-9 vs. 13-15
241,age4-,age2-,0.7012244897959184,0.7142857142857143,0.04371584699453531,7-9 vs. 13-15
242,age4-,age1-,0.7012244897959184,0.7714285714285715,0.2349726775956283,4-6 vs. 13-15
243,age4-,age2-,0.7485714285714286,0.7142857142857143,-0.1363636363636362,7-9 vs. 13-15
244,age4-,age2-,0.8432653061224489,0.8857142857142857,0.2708333333333336,7-9 vs. 13-15
245,age4-,age3-,0.8669387755102042,0.8571428571428571,-0.07361963190184051,10-12 vs. 13-15
246,age4-,age3-,0.7959183673469388,0.8285714285714286,0.16000000000000028,10-12 vs. 13-15
247,age4-,age1-,0.3555555555555556,0.4,0.06896551724137934,4-6 vs. 13-15
248,age4-,age4-,0.8195918367346938,0.8571428571428571,0.20814479638009048,13-15 vs. 13-15
249,age4-,age4-,0.9,0.9,0.0,13-15 vs. 13-15
250,age4-,age4-,0.8432653061224489,0.8285714285714286,-0.09374999999999893,13-15 vs. 13-15
251,age4-,age3-,0.8432653061224489,0.8857142857142857,0.2708333333333336,10-12 vs. 13-15
252,age4-,age3-,0.8669387755102042,0.8571428571428571,-0.07361963190184051,10-12 vs. 13-15
253,age4-,age3-,0.86,0.85,-0.07142857142857148,10-12 vs. 13-15
254,age4-,age3-,0.8195918367346938,0.8571428571428571,0.20814479638009048,10-12 vs. 13-15
255,age4-,age3-,0.78,0.85,0.31818181818181795,10-12 vs. 13-15
256,age4-,age2-,0.8669387755102042,0.9142857142857144,0.3558282208588957,7-9 vs. 13-15
